City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lüderitz,0,NA,1601721127,56,-26.65,15.16,64.53,14.32
Sur,0,OM,1601721127,38,22.57,59.53,90.9,7.87
Ahipara,4,NZ,1601721107,82,-35.17,173.17,51.91,2.77
Pimenta Bueno,65,BR,1601721128,84,-11.67,-61.19,74.25,1.34
Nikolskoye,52,RU,1601721047,62,59.7,30.79,63.0,13.42
Touros,20,BR,1601721128,83,-5.2,-35.46,77.0,5.82
Catalina Foothills,1,US,1601721128,16,32.3,-110.92,73.99,6.93
Hermanus,99,ZA,1601721044,90,-34.42,19.23,61.0,4.0
Lebu,51,CL,1601721039,80,-37.62,-73.65,43.29,3.2
Manta,100,EC,1601721129,84,-0.95,-80.73,69.4,6.98
Aras,75,ES,1601721129,58,42.56,-2.36,57.2,21.92
Rikitea,61,PF,1601721044,80,-23.12,-134.97,72.63,14.41
Coité do Nóia,4,BR,1601721130,66,-9.63,-36.58,76.64,12.03
Ushuaia,75,AR,1601721038,64,-54.8,-68.3,37.4,11.41
Hobart,75,AU,1601721038,87,-42.88,147.33,55.99,6.93
Vila Franca do Campo,40,PT,1601721131,73,37.72,-25.43,69.8,14.99
General Roca,75,AR,1601721131,69,-39.03,-67.58,39.2,10.29
Hilo,1,US,1601720956,88,19.73,-155.09,73.4,4.7
Clyde River,90,CA,1601721057,74,70.47,-68.59,28.4,5.82
Cape Town,20,ZA,1601720985,49,-33.93,18.42,72.0,9.17
Avarua,71,CK,1601721035,88,-21.21,-159.78,71.6,2.24
Puerto Ayora,50,EC,1601721034,95,-0.74,-90.35,64.99,8.99
Chokurdakh,49,RU,1601721070,85,70.63,147.92,28.76,12.39
Bilibino,86,RU,1601720924,88,68.05,166.44,24.8,1.36
Butaritari,100,KI,1601721080,67,3.07,172.79,81.75,6.08
New Norfolk,100,AU,1601721046,72,-42.78,147.06,55.99,3.0
Rome,90,US,1601721092,87,43.21,-75.46,50.0,3.36
Arteaga,0,MX,1601721134,53,18.47,-102.42,60.06,4.07
Camaçari,20,BR,1601721135,74,-12.7,-38.32,78.8,8.05
Oranjemund,0,NA,1601721066,60,-28.55,16.43,63.19,11.68
Poum,38,NC,1601721135,75,-20.23,164.02,71.55,15.03
Rodolfo Sánchez Taboada,0,MX,1601721136,43,31.72,-116.57,70.5,0.96
